ï»¿Country,Name,Goals,Expected Goals (xG),Big chances missed,Successful dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %,Rating,Big chances created,Total passes,Accurate final third passes,Accurate long balls,Assists,Accurate passes %,Key passes,Accurate long balls %,Accurate own half passes,Accurate crosses,Passes to assist,Accurate passes,Inaccurate passes,Accurate opposition half passes,Accurate crosses %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Errors lead to shot,Own goals,Dribbled past,Clean sheets,Ground duels won,Total duels won,Aerial duels won %,Minutes played,Appearances,Aerial duels won,Age
Cameroon,Vincent Aboubakar,2,0.59,0,5,71.43,6,3,1,2,33.33,0,0,0,0,0,2,0,1,0,1,0,0,0,0,7.4,1,31,9,1,1,64.52,2,100,3,0,0,20,11,17,0,0,0,0,4,0,0,0,0,0,7,9,40,141,3,2,30
Serbia,DuÅ¡an TadiÄ,0,0.08,0,3,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.4,1,107,47,1,2,78.5,10,33.33,15,5,0,84,23,74,29.41,4,1,0,0,0,0,0,1,0,11,11,0,258,3,0,34
Spain,CÃ©sar Azpilicueta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,1,166,27,7,1,95.78,4,77.78,79,2,0,159,7,82,66.67,1,1,0,0,0,0,0,0,1,1,3,50,135,2,2,33
Morocco,Monir El Kajoui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,24,0,5,0,62.5,0,35.71,11,0,0,15,9,4,0,0,0,0,1,0,0,0,0,1,0,0,0,90,1,0,34
Saudi Arabia,Mohammed Al-Owais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,86,1,19,0,50,0,30.65,27,0,0,43,43,16,0,0,0,0,9,0,0,0,1,0,1,5,100,270,3,4,31
Netherlands,Daley Blind,1,0.38,0,1,50,5,2,3,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.38,1,265,62,15,1,84.91,2,57.69,91,3,0,225,40,137,50,14,5,0,4,0,0,0,3,2,16,21,38.46,424,5,5,32
Spain,Jordi Alba,0,0.04,0,2,66.67,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.38,2,322,80,10,2,90.99,5,66.67,112,2,0,293,29,183,14.29,6,3,0,2,0,0,0,3,0,11,11,0,266,4,0,33
Ecuador,Enner Valencia,3,2.27,0,2,40,9,4,0,5,33.33,1,1,1,1,0,3,0,1,0,2,0,2,100,0,7.37,0,53,9,0,0,69.81,3,0,14,2,0,37,16,25,66.67,2,1,0,2,0,0,0,1,0,11,13,20,256,3,2,33
Germany,David Raum,0,0,0,2,66.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.37,2,144,45,5,1,87.5,7,45.45,57,5,0,126,18,74,20.83,6,7,0,2,0,0,0,3,0,11,16,62.5,244,3,5,24
Uruguay,Federico Valverde,0,0.17,0,1,33.33,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.37,1,180,43,14,0,86.11,4,63.64,71,3,0,155,25,87,42.86,7,5,0,0,0,0,0,1,2,10,11,25,270,3,1,24
Uruguay,Giorgian De Arrascaeta,2,1.21,1,0,0,3,3,0,0,66.67,0,0,0,0,0,2,0,1,0,1,0,0,0,0,7.35,1,45,17,0,0,66.67,3,0,9,1,0,30,15,22,16.67,3,2,0,1,0,0,0,4,0,3,3,0,108,2,0,28
Belgium,Leander Dendoncker,0,0.09,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,1,121,9,1,0,97.52,1,50,89,0,0,118,3,29,0,6,0,0,4,0,0,0,0,1,6,8,66.67,162,2,2,27
England,Jude Bellingham,1,0.56,0,6,46.15,5,3,1,1,20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.34,1,259,54,13,1,90.35,6,76.47,116,0,2,234,25,118,0,16,5,0,0,0,0,0,1,1,27,33,40,415,5,6,18
England,Harry Maguire,0,0.37,0,2,100,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7.34,0,406,28,33,1,87.19,1,60,253,0,0,354,52,101,0,7,4,0,18,0,0,0,1,3,11,26,75,430,5,15,29
Belgium,Thibaut Courtois,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,108,3,11,0,86.11,0,42.31,86,0,0,93,15,7,0,0,0,0,0,1,0,0,0,2,1,1,0,270,3,0,30
Croatia,Dominik LivakoviÄ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,182,4,38,0,81.32,0,52.78,122,0,0,148,34,26,0,0,0,1,2,0,0,0,1,2,0,1,100,690,7,1,27
France,Ibrahima KonatÃ©,0,0.37,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,1,233,23,14,0,91.85,2,66.67,128,0,0,214,19,86,0,15,7,0,14,0,0,0,0,1,19,24,83.33,296,5,5,23
France,Theo HernÃ¡ndez,1,0.4,0,2,100,5,2,3,0,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.3,2,280,64,15,2,86.79,11,57.69,107,5,0,243,37,141,38.46,16,4,1,7,0,1,0,5,1,31,39,61.54,508,6,8,25
Germany,Serge Gnabry,1,1.09,2,3,75,12,4,4,4,8.33,0,0,0,0,0,1,0,1,0,0,1,3,0,0,7.3,2,105,36,0,1,75.24,6,0,17,3,0,79,26,65,42.86,5,2,0,3,0,0,0,1,0,10,10,0,264,3,0,27
Mexico,Luis ChÃ¡vez,1,0.29,0,2,50,10,4,1,5,10,0,0,0,4,1,0,1,0,1,0,0,0,0,25,7.3,0,119,34,11,0,78.15,5,57.89,29,6,1,93,26,70,31.58,1,1,0,3,0,0,0,3,1,11,16,50,270,3,5,27
Brazil,Thiago Silva,0,0.16,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,1,343,20,18,1,93.59,4,66.67,199,1,0,321,22,123,100,3,5,0,6,0,0,0,0,2,6,12,60,390,4,6,38
Denmark,Simon KjÃ¦r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,59,3,5,0,84.75,0,71.43,36,0,0,50,9,14,0,0,5,0,1,0,0,0,0,0,0,3,75,65,1,3,33
Netherlands,Andries Noppert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,0,158,1,30,0,77.85,0,46.88,111,0,0,123,35,12,0,0,0,0,5,0,0,0,0,2,0,0,0,480,5,0,27
Tunisia,Aymen Dahmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,70,0,17,0,60,0,37.78,31,0,0,42,28,11,0,0,0,0,2,0,0,0,0,2,0,0,0,270,3,0,25
Denmark,Christian Eriksen,0,0.18,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,196,47,18,0,89.8,10,78.26,80,10,1,176,20,106,33.33,1,0,0,1,0,0,0,0,1,2,2,0,270,3,0,30
Netherlands,Frenkie de Jong,1,0.88,0,3,50,2,1,0,1,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.26,1,358,51,10,1,89.11,4,58.82,162,1,0,319,39,158,33.33,12,6,0,3,0,0,0,2,1,21,29,88.89,476,5,8,25
England,Phil Foden,1,1.08,1,3,75,6,1,3,2,16.67,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.25,2,102,34,2,2,81.37,6,50,22,6,0,83,19,67,42.86,1,1,0,0,0,0,0,1,1,8,11,37.5,259,4,3,22
Tunisia,Youssef Msakni,0,0.54,1,4,80,9,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,1,64,18,2,0,73.44,4,40,22,0,0,47,17,25,0,3,0,0,1,0,0,0,1,0,11,14,33.33,170,2,3,31
Croatia,Luka ModriÄ,0,0.38,0,6,54.55,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.24,2,517,107,28,0,88.59,6,73.68,181,7,0,458,59,284,21.21,16,10,0,3,0,0,0,7,2,37,40,42.86,656,7,3,37
Portugal,OtÃ¡vio,0,0.11,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,2,120,27,5,0,78.33,4,50,41,2,0,94,26,55,40,7,1,0,1,0,0,0,2,0,17,18,50,199,3,1,27
Spain,Aymeric Laporte,0,0.03,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,435,31,10,0,94.25,1,50,249,0,0,410,25,161,0,2,3,0,7,0,0,0,0,2,4,9,62.5,300,3,5,28
Portugal,GonÃ§alo Ramos,3,1.57,2,0,0,7,5,2,0,42.86,0,0,0,0,0,3,0,0,2,1,0,3,0,0,7.23,1,31,12,0,1,80.65,2,0,8,0,0,25,6,17,0,1,0,0,2,0,0,0,1,0,4,8,40,164,4,4,22
England,Harry Kane,2,2.69,3,4,57.14,12,6,3,3,16.67,2,1,0,0,0,2,0,0,0,2,0,0,50,0,7.22,4,90,32,4,3,66.67,5,100,11,1,0,60,30,50,16.67,2,0,0,5,0,0,0,0,2,15,24,40.91,404,5,9,29
France,Olivier Giroud,4,3.43,2,0,0,16,6,9,1,25,0,0,0,0,0,4,0,2,1,1,1,3,0,0,7.22,0,73,16,1,0,65.75,2,100,19,0,0,48,25,29,0,1,1,0,5,0,0,0,3,0,5,24,59.38,423,6,19,36
Croatia,Dejan Lovren,0,0.26,0,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.22,0,455,18,27,1,88.57,1,60,301,1,0,403,52,103,33.33,7,6,0,29,0,0,0,2,2,12,29,73.91,600,6,17,33
Japan,Ritsu Doan,2,0.5,0,4,57.14,4,3,1,0,50,0,0,0,0,0,1,1,0,2,0,0,0,0,0,7.2,0,46,17,2,0,69.57,4,50,6,4,1,32,14,30,44.44,6,3,0,2,0,0,0,2,0,14,15,20,218,4,1,23
Croatia,Ivan PeriÅ¡iÄ,1,0.91,1,6,46.15,16,4,9,3,6.25,0,0,0,1,0,1,0,1,0,0,0,3,0,0,7.2,1,229,58,5,3,74.67,9,29.41,70,6,0,171,58,107,22.22,7,7,0,12,0,0,0,2,1,13,30,53.13,670,7,17,34
USA,Christian PuliÅ¡iÄ,1,1.06,1,4,40,9,5,2,2,11.11,0,0,0,0,0,1,0,0,0,1,1,1,0,0,7.2,1,110,43,5,2,72.73,9,55.56,20,3,0,80,30,63,9.68,2,0,0,1,0,0,0,1,1,17,19,33.33,315,4,2,24
Germany,Ä°lkay GÃ¼ndoÄan,1,1.14,0,2,100,6,3,1,2,16.67,1,1,0,0,0,1,0,0,0,1,1,1,100,0,7.2,0,167,51,6,0,89.82,1,66.67,48,0,0,150,17,102,0,3,1,0,0,0,0,0,1,0,7,10,60,192,3,3,32
Serbia,Andrija Å½ivkoviÄ,0,0.06,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.2,2,71,22,0,2,83.1,4,0,21,1,0,59,12,39,12.5,5,3,0,3,0,0,0,1,0,9,11,50,213,3,2,25
Belgium,Toby Alderweireld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,1,271,22,16,1,91.51,1,50,185,0,0,248,23,63,0,4,0,0,19,0,0,0,3,2,4,5,33.33,270,3,1,33
Germany,Thilo Kehrer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,24,3,1,0,79.17,0,100,14,0,0,19,5,5,0,6,3,0,2,0,0,0,0,0,6,6,0,70,1,0,26
Belgium,Kevin De Bruyne,0,0.23,0,4,57.14,7,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.2,0,112,38,6,0,73.21,8,54.55,24,7,0,82,30,65,38.89,1,0,0,3,0,0,0,2,2,7,11,100,270,3,4,32
Brazil,Alex Sandro,0,0.03,0,1,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.2,0,143,25,0,0,91.61,1,0,57,1,0,131,12,75,25,8,3,0,9,0,0,0,0,1,11,14,75,191,3,3,32
Argentina,Ãngel Di MarÃ­a,1,0.64,0,13,61.9,6,3,1,2,16.67,0,0,1,0,0,1,0,0,1,0,0,5,0,0,7.18,0,138,66,4,1,87.68,10,66.67,31,6,0,121,17,96,22.22,3,1,0,0,0,0,0,2,0,23,23,0,290,5,0,34
Spain,Ãlvaro Morata,3,1.36,1,1,33.33,8,5,3,0,37.5,0,0,0,0,0,3,0,1,1,1,0,5,0,0,7.18,0,41,10,3,1,68.29,2,60,8,0,0,28,13,20,0,1,0,0,2,0,0,0,1,0,4,5,100,183,4,1,30
Portugal,RaphaÃ«l Guerreiro,1,0.36,0,2,100,3,1,1,1,33.33,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.18,1,146,43,3,2,88.36,6,100,54,3,0,129,17,78,23.08,3,3,0,0,0,0,0,1,0,6,8,66.67,279,4,2,29
Germany,Niclas FÃ¼llkrug,2,2.19,2,1,100,8,3,4,1,25,0,0,0,0,0,2,0,0,1,1,0,0,0,0,7.17,1,24,6,0,1,62.5,1,0,6,0,0,15,9,9,0,0,0,0,0,0,0,0,0,0,2,6,44.44,66,3,4,30
Netherlands,Wout Weghorst,2,0.19,0,0,0,2,2,0,0,100,0,0,0,0,0,2,0,1,1,0,0,1,0,0,7.17,0,15,3,0,0,60,1,0,3,0,0,9,6,6,0,0,0,0,0,0,0,0,0,0,1,3,50,61,4,2,29
Tunisia,Ellyes Skhiri,0,0.07,0,1,50,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17,0,124,17,8,0,87.1,3,57.14,59,0,0,108,16,49,0,10,7,0,3,0,0,0,2,2,13,14,100,270,3,1,27
Croatia,JoÅ¡ko Gvardiol,1,0.14,0,1,100,2,1,1,0,50,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.16,0,515,32,24,0,89.9,1,61.54,333,0,0,463,52,130,0,9,11,0,37,0,0,0,3,2,16,19,37.5,690,7,3,24
Iran,Ramin Rezaeian,1,0.27,0,1,100,2,1,0,1,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.15,0,77,15,7,0,74.03,3,30.43,25,2,0,57,20,34,18.18,7,3,0,2,0,0,0,4,1,11,12,14.29,180,2,1,32
France,Adrien Rabiot,1,1.04,0,2,50,9,4,3,2,11.11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.13,1,274,72,9,1,85.04,3,56.25,90,2,0,233,41,145,28.57,12,10,0,5,0,0,0,3,0,18,33,65.22,483,6,15,27
Croatia,Josip JuranoviÄ,0,0.03,0,1,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,316,61,11,1,83.86,7,57.89,131,6,0,265,51,140,25,12,3,0,13,0,0,0,0,2,19,21,33.33,600,6,2,27
Tunisia,Montassar Talbi,0,0.02,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,0,137,12,14,0,86.13,0,70,87,0,0,118,19,31,0,2,2,0,16,0,0,0,0,2,4,12,44.44,270,3,8,28
Croatia,Mateo KovaÄiÄ,0,0.32,1,11,61.11,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,2,456,110,17,0,90.79,9,62.96,177,0,0,414,42,237,0,24,4,0,4,0,0,0,7,0,46,50,66.67,638,7,4,29
Portugal,Pepe,1,0.44,1,1,100,3,1,2,0,33.33,0,0,0,0,0,1,0,1,0,0,0,1,0,0,7.13,0,290,20,16,0,83.79,0,43.24,161,0,0,243,47,82,0,5,6,0,11,0,0,0,1,1,11,20,64.29,360,4,9,39
Spain,Pedri,0,0,0,6,54.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13,1,430,130,26,0,90.93,5,83.87,112,0,0,391,39,279,0,4,4,0,2,0,0,0,5,1,13,15,100,357,4,2,20
England,Marcus Rashford,3,1.61,1,5,55.56,11,6,3,2,27.27,0,0,0,2,1,2,1,0,2,1,0,1,0,50,7.1,0,64,12,1,0,75,0,50,22,0,0,48,16,26,0,1,1,0,1,0,0,0,1,0,6,7,25,148,5,1,25
Brazil,Lucas PaquetÃ¡,1,0.83,2,0,0,4,4,0,0,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.1,2,191,50,4,1,84.82,6,50,54,1,0,162,29,109,25,7,2,0,4,0,0,0,3,0,9,12,60,315,4,3,25
Argentina,Enzo FernÃ¡ndez,1,0.32,0,3,60,8,3,3,2,12.5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,7.1,1,468,89,16,1,87.61,6,51.61,210,1,0,410,58,201,50,22,3,0,7,0,0,1,10,1,31,40,75,563,7,9,23
Senegal,IsmaÃ¯la Sarr,1,1.66,1,9,69.23,11,2,5,4,9.09,1,1,1,0,0,1,0,0,0,1,0,3,100,0,7.1,0,70,28,0,0,67.14,6,0,9,2,0,47,23,40,25,4,2,0,1,0,0,0,1,0,30,38,50,344,4,8,25
Cameroon,Jerome Mbekeli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,50,0,0,0,1,0,0,0,0,0,0,1,100,14,1,1,24
Saudi Arabia,Hattan Bahebri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,1,7,1,0,1,57.14,1,0,1,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,100,11,2,1,29
Senegal,Cheikhou KouyatÃ©,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,21,6,0,0,85.71,1,0,10,1,0,18,3,9,50,0,2,0,4,0,0,0,0,0,2,3,33.33,73,1,1,33
USA,Cameron Carter-Vickers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,58,5,4,0,86.21,0,80,36,0,0,50,8,14,0,0,0,0,4,0,0,0,0,1,1,5,50,90,1,4,24
Saudi Arabia,Yasir Al-Shahrani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,22,1,1,0,40.91,0,16.67,4,0,0,9,13,5,0,3,6,0,6,0,0,0,0,0,3,3,0,89,1,0,30
Belgium,Thorgan Hazard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.1,3,42,11,2,0,76.19,6,100,18,3,0,32,10,17,33.33,3,0,0,0,0,0,0,2,0,5,5,0,106,2,0,29
Australia,Kye Rowles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,186,3,11,0,88.71,0,73.33,150,0,0,165,21,15,0,8,7,0,16,0,1,0,3,2,10,14,66.67,360,4,4,24
Australia,Fran KaraÄiÄ,0,0.18,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,38,6,6,0,60.53,1,75,10,1,0,23,15,14,20,2,2,0,3,0,0,0,0,0,2,6,50,93,2,4,25
Belgium,Jan Vertonghen,0,0.17,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,268,6,7,0,88.81,0,33.33,192,0,0,238,30,46,0,0,5,0,12,0,0,0,1,2,6,17,68.75,270,3,11,35
Uruguay,JosÃ© MarÃ­a GimÃ©nez,0,0.17,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.1,0,170,14,15,0,82.35,0,55.56,91,0,0,140,30,49,0,4,7,1,10,0,0,0,5,2,7,15,72.73,270,3,8,27
Uruguay,MathÃ­as Olivera,0,0.09,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,102,19,3,0,74.51,5,33.33,31,4,0,76,26,49,66.67,9,2,0,7,0,0,0,3,1,12,18,60,255,3,6,24
